'*',    26,     1,    12,     7,     5,     5, 10890,     0
'SPENVIS 4.6.10.3403          -  4-Jul-2022 10:21:20'
'PRJ_DEF', -1,'GRID-02'
'PRJ_HDR', -1,'GRID-02 high ionization area process'
'MOD_ABB', -1,'GRD'
'GRD_TYP', 1, 2
'GRD_LBL', -1,'Grid type: world map at    521.0 km'
'GRD_VAR', -1,' '
'GRD_ALT', 1,    521.0,'km'
'GRD_NLO', 1, 121
'GRD_NLA', 1,  90
'MIS_PLA', 1,   3,' '
'PLA_RAD', 1,   6371.20,'KM'
'PLA_DIS', 1,     1.000,'AU'
'PS Annotation',  6,  0
'Grid type: world map at    521.0 km'
 0.05, 2.00, 0.00
'Planet: Earth'
 0.10, 1.50, 0.00
'Universal time:  0.0 hr'
 0.10, 1.50, 0.00
'Altitude','km', 1,'Altitude'
'Latitude','deg', 1,'Latitude'
'Longitude','deg', 1,'Longitude'
'LT','hr', 1,'Local Time'
'UT','hr', 1,'Universal Time'
 5.21000E+02, -87.000, -108.000, 16.800,  0.000
 5.21000E+02, -87.000, -105.000, 17.000,  0.000
 5.21000E+02, -87.000, -102.000, 17.200,  0.000
 5.21000E+02, -87.000,  -99.000, 17.400,  0.000
 5.21000E+02, -87.000,  -96.000, 17.600,  0.000
 5.21000E+02, -87.000,  -93.000, 17.800,  0.000
 5.21000E+02, -87.000,  -90.000, 18.000,  0.000
 5.21000E+02, -87.000,  -87.000, 18.200,  0.000
 5.21000E+02, -87.000,  -84.000, 18.400,  0.000
 5.21000E+02, -87.000,  -81.000, 18.600,  0.000
 5.21000E+02, -87.000,  -78.000, 18.800,  0.000
 5.21000E+02, -87.000,  -75.000, 19.000,  0.000
 5.21000E+02, -87.000,  -72.000, 19.200,  0.000
 5.21000E+02, -87.000,  -69.000, 19.400,  0.000
 5.21000E+02, -87.000,  -66.000, 19.600,  0.000
 5.21000E+02, -87.000,  -63.000, 19.800,  0.000
 5.21000E+02, -87.000,  -60.000, 20.000,  0.000
 5.21000E+02, -87.000,  -57.000, 20.200,  0.000
 5.21000E+02, -87.000,  -54.000, 20.400,  0.000
 5.21000E+02, -87.000,  -51.000, 20.600,  0.000
 5.21000E+02, -87.000,  -48.000, 20.800,  0.000
 5.21000E+02, -87.000,  -45.000, 21.000,  0.000
 5.21000E+02, -87.000,  -42.000, 21.200,  0.000
 5.21000E+02, -87.000,  -39.000, 21.400,  0.000
 5.21000E+02, -87.000,  -36.000, 21.600,  0.000
 5.21000E+02, -87.000,  -33.000, 21.800,  0.000
 5.21000E+02, -87.000,  -30.000, 22.000,  0.000
 5.21000E+02, -87.000,  -27.000, 22.200,  0.000
 5.21000E+02, -87.000,  -24.000, 22.400,  0.000
 5.21000E+02, -87.000,  -21.000, 22.600,  0.000
 5.21000E+02, -87.000,  -18.000, 22.800,  0.000
 5.21000E+02, -87.000,  -15.000, 23.000,  0.000
 5.21000E+02, -87.000,  -12.000, 23.200,  0.000
 5.21000E+02, -87.000,   -9.000, 23.400,  0.000
 5.21000E+02, -87.000,   -6.000, 23.600,  0.000
 5.21000E+02, -87.000,   -3.000, 23.800,  0.000
 5.21000E+02, -87.000,    0.000,  0.000,  0.000
 5.21000E+02, -87.000,    3.000,  0.200,  0.000
 5.21000E+02, -87.000,    6.000,  0.400,  0.000
 5.21000E+02, -87.000,    9.000,  0.600,  0.000
 5.21000E+02, -87.000,   12.000,  0.800,  0.000
 5.21000E+02, -87.000,   15.000,  1.000,  0.000
